"row_id","zred","snapnum","aexp"
1,0,85,1.001
2,0.01,84,0.986
3,0.03,83,0.971
4,0.05,82,0.956
5,0.06,81,0.94
6,0.08,80,0.925
7,0.1,79,0.91
8,0.12,78,0.895
9,0.14,77,0.88
10,0.16,76,0.864
11,0.18,75,0.849
12,0.2,74,0.834
13,0.22,73,0.819
14,0.24,72,0.804
15,0.27,71,0.788
16,0.29,70,0.773
17,0.32,69,0.758
18,0.35,68,0.743
19,0.37,67,0.728
20,0.4,66,0.713
21,0.47,64,0.682
22,0.53,62,0.652
23,0.61,60,0.621
24,0.69,58,0.591
25,0.78,56,0.561
26,0.89,54,0.53
27,1,52,0.5
28,1.13,50,0.47
29,1.28,48,0.439
30,1.45,46,0.409
31,1.64,44,0.378
32,1.87,42,0.348
33,2.15,40,0.318
34,2.48,38,0.287
35,2.89,36,0.257
36,3.41,34,0.227
37,4.1,32,0.196
38,4.68,30,0.176
39,5.42,28,0.156
40,6.39,26,0.135
41,7.68,24,0.115
42,8.84,22,0.102
43,10.34,20,0.088
